case_year	case_status	emp_name	emp_city	emp_state	emp_zip	emp_country	job_title	soc_code	soc_name	full_time_position	prevailing_wage	pw_unit	pw_level	wage_from	wage_to	wage_unit	work_city	work_state	emp_h1b_dependent	emp_willful_violator	lat	lng	processing_time
2015	C	ACCENTURE LLP	CHICAGO	IL	60601	USA	COMPUTER SPECIALIST / TESTING AND QUALITY ANALYST 3	15-1199	COMPUTER OCCUPATIONS, ALL OTHER	Y	76232	Y	Level III	81592		Y	RICHFIELD	MN	N	N	44.883297	-93.283005	6
2011	C	PRECAST CONCRETE TECHNOLOGY UNLIMITED, LLC	OLIVEHURST	CA	95961		ENGINEER	17-2051.00	CIVIL ENGINEERS	N	34.58	H		34.58		H	OLIVEHURST	CA			39.095448	-121.552185	6
2014	C	INFO LABS, INC.	HERNDON	VA	20170		PROGRAMMER ANALYST	15-1131	COMPUTER PROGRAMMERS	Y	54330	Y		60000		Y	HERNDON	VA			38.969555	-77.3861	4
2011	C	FACEBOOK, INC.	PALO ALTO	CA	94304		SOFTWARE ENGINEER	15-1031.00	COMPUTER SOFTWARE ENGINEERS, APPLICATIONS	Y	82035	Y		90000		Y	PALO ALTO	CA			37.441883	-122.14302	4
2015	C	INFOSYS LIMITED	PLANO	TX	75024	USA	TECHNOLOGY ANALYST - US	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	53186	Y	Level I	65631		Y	MILWAUKEE	WI	Y	N	43.038902	-87.90647	7
2013	C	ZYLOG SYSTEMS LIMITED	EDISON	NJ	8820		PROGRAMMER ANALYST	15-1131	COMPUTER PROGRAMMERS	Y	53352	Y		60000		Y	RICHMOND	VA			37.553757	-77.46026	6
2012	C	GEOMETRIC AMERICAS, INC.	TROY	MI	48084		PLM ENGINEER	15-1132	SOFTWARE DEVELOPERS, APPLICATIONS	Y	57096	Y		71843		Y	HUNTINGTON BEACH	CA			33.660297	-117.99923	4
2011	C	NARAYAN HOTEL LLC	MERRIMACK	NH	3054		FINANCIAL MANAGER	11-3031.00	FINANCIAL MANAGERS	N	30.52	H		30.52		H	MERRIMACK	NH			42.86814	-71.4834	6
2017	C	WALDO PHOTOS, INC.	AUSTIN	TX	78702	USA	SOFTWARE ENGINEER-COMPUTER VISION	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	53206	Y	Level I	60000	0	Y	AUSTIN	TX	N	N	30.267153	-97.74306	6
2016	C	AFI US, LLC	CHARLOTTE	NC	28202	USA	DATABASE FIREWALL SECURITY ENGINEER	15-1122	INFORMATION SECURITY ANALYSTS		109117	Y		115000	0	Y	CHARLOTTE	NC	N	N	35.227085	-80.843124	6
2017	C	ENTXL INC	IRVING	TX	75039	USA	COMPUTER SYSTEMS ADMINISTRATOR	15-1142	NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS	Y	63669	Y	Level I	63700	0	Y	BALTIMORE	MD	Y	N	39.290386	-76.61219	4
2015	C	SEARS HOLDINGS MANAGEMENT CORPORATION	HOFFMAN ESTATES	IL	60179	USA	ARCHITECT, I&TG	15-1199	COMPUTER OCCUPATIONS, ALL OTHER	Y	67642	Y	Level II	110000		Y	HOFFMAN ESTATES	IL	N	N	42.042805	-88.079796	6
2015	C	UDEMY, INC.	SAN FRANCISCO	CA	94107	USA	PRODUCT MANAGER	Nov-21	COMPUTER AND INFORMATION SYSTEMS MANAGERS	Y	118414	Y	Level I	118414	145000	Y	SAN FRANCISCO	CA	N	N	37.77493	-122.41942	4
2015	C	NGUSOFT INC	SANTA CLARA	CA	95054	USA	SOFTWARE DEVELOPER	15-1132	SOFTWARE DEVELOPERS, APPLICATIONS	Y	40269	Y	Level I	70000		Y	ERIE	PA	N	N	42.129223	-80.08506	6
2016	C	HCL AMERICA, INC.	SUNNYVALE	CA	94085	USA	SYSTEMS ANALYST - III	15-1121	COMPUTER SYSTEMS ANALYSTS		86216	Y		86216	106000	Y	DALLAS	TX	Y	N	32.783054	-96.80666	6
2011	C	O2 TECHNOLOGIES INC	HERNDON	VA	20171		O2 ANALYST	15-1051.00	COMPUTER SYSTEMS ANALYSTS	Y	58427	Y		62100		Y	SAN JOSE	CA			37.339386	-121.89496	4
2012	C	CAPITAL ONE SERVICES, LLC	RICHMOND	VA	23238		SENIOR MIS ANALYST	15-2031	OPERATIONS RESEARCH ANALYSTS	Y	67100.8	Y		67200	77700	Y	RICHMOND	VA			37.553757	-77.46026	6
2014	C	GP BULLHOUND, INC.	SAN FRANCISCO	CA	94111		ANALYST	13-2051	FINANCIAL ANALYSTS	Y	67600	Y		68000		Y	SAN FRANCISCO	CA			37.77493	-122.41942	6
2012	C	BIRLASOFT INC	EDISON	NJ	8817		BUSINESS SYSTEMS ANALYST	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	61526	Y		61600		Y	EDISON	NJ			40.518715	-74.412094	6
2015	C	ZIONTECH SOLUTIONS,INC	SAN JOSE	CA	95134	USA	SYSTEMS ANALYST	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	66602	Y	Level I	70000		Y	SAN JOSE	CA	Y	N	37.339386	-121.89496	6
2017	C	TELEMUNDO MEDIA, LLC	FORT WORTH	TX	76155	USA	SPORTS DIRECTOR	27-3022	REPORTERS AND CORRESPONDENTS	Y	59134	Y	Level IV	60000	70000	Y	FORT WORTH	TX	N	N	32.72541	-97.32085	4
